firm,date,sentence,aspect,score,method,speaker,sector
HDFC Bank,2026-03-19,The board has accepted his resignation with appreciation for his guidance and contribution during his tenure.,guidance,1.0,keyword,management,banking
HDFC Bank,2026-03-19,"I also want to emphasize, and this is the last statement I will make, that I would not have taken on this responsibility at the age of 71 if it did not align with my principles and the level of integrity that I would expect from the bank.",guidance,1.0,keyword,management,banking
HDFC Bank,2026-03-19,We will continue to ensure that this particular trust is maintained not just now but sustained for several years going forward.,guidance,1.0,keyword,management,banking
HDFC Bank,2026-03-19,"So Seshadri, Sashi will answer that question but before he does, let me reassure you that what happened yesterday has nothing whatsoever to do with operational profitability of the bank.",margin,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"Looking back, I think the credit growth buildup has been extremely encouraging.",loan_growth,2.0,keyword,management,banking
HDFC Bank,2026-01-23,We set our sights on a very balanced credit across customer segments.,loan_growth,1.0,keyword,management,banking
HDFC Bank,2026-01-23,The easing rate cycle and the benign credit has provided catalysts for the credit growth.,loan_growth,2.0,keyword,management,banking
HDFC Bank,2026-01-23,The CRR release enabled credit deployment slightly ahead of our expectations.,loan_growth,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"On the growth, profitable growth, as mentioned earlier, cost of funds has moved down, reflecting the tailwind effects.",cost,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"On the growth, profitable growth, as mentioned earlier, cost of funds has moved down, reflecting the tailwind effects.",nim,1.0,keyword,management,banking
HDFC Bank,2026-01-23,Cost has been under control as productivity improvements have brought in efficiencies.,cost,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"Credit, which has always been our USP, remains best- in-class, allowing us to deliver stable returns as we pivot to the next stage of growth.",loan_growth,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"Looking ahead, the regulator and government continue to be focused on supporting economic and credit growth, and at the same time, optimally managing external factors.",loan_growth,2.0,keyword,management,banking
HDFC Bank,2026-01-23,Liquidity and benign credit costs provide us a lot of runway to grow.,loan_growth,1.0,keyword,management,banking
HDFC Bank,2026-01-23,The foundations are in place to build deposits to fund loan growth.,loan_growth,1.0,keyword,management,banking
HDFC Bank,2026-01-23,It's an important focus for sustainable profitability.,margin,1.0,keyword,management,banking
HDFC Bank,2026-01-23,The easing cycle with credit growth focus in the country surely needs our participation.,loan_growth,2.0,keyword,management,banking
HDFC Bank,2026-01-23,"I would also like to reiterate that we shall meet the glide path that we had indicated earlier in terms of the growth, our top line growth, which is in line with the system this financial year and faster than the system in the next financial year.",revenue,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"So two large banks have been asked by RBI to make provisions on a certain agri portfolio because of non-compliance issues, provisions of 12 billion to 13 billion.",credit_cost,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"And you know that in the recent time period, the further opportunity was also provided with the easing cycle and the credit growth focus in the industry as well as the CRR release, which provided that ample opportunity to do that.",loan_growth,2.0,keyword,management,banking
HDFC Bank,2026-01-23,"So given that, we do expect that over the next 1 year to 2 years, we would be getting down further into the levels that we had previously been there, call it, the 90s or low 90s and so on.",guidance,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"No, the size of the portfolio on which the provision was taken.",credit_cost,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"No, that's not consequent to this at all because it depends on loan item and what is the scale of finance on each one and so on.",loan_growth,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"So again, getting on to the question on LDR and deposit growth in particular.",deposit_growth,2.0,keyword,management,banking
HDFC Bank,2026-01-23,"So if we want to get the LDRs down and still want to grow loans above the industry average comfortably, then we need to see the acceleration in the deposit growth.",deposit_growth,2.0,keyword,management,banking
HDFC Bank,2026-01-23,"So, any reason maybe for a slightly slower deposit growth this quarter?",deposit_growth,2.0,keyword,analyst,banking
HDFC Bank,2026-01-23,"Number 1 is there is no regulatory, what shall I say, benchmark or a requirement to meet a loan deposit ratio.",loan_growth,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"Number 1 is there is no regulatory, what shall I say, benchmark or a requirement to meet a loan deposit ratio.",deposit_growth,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"Was it there as a bit of a nudge when the outlook was negative or when the system outlook was a little tight, liquidity is tight in the period when inflation was moving up and rates were moving up",guidance,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"Was it there as a bit of a nudge when the outlook was negative or when the system outlook was a little tight, liquidity is tight in the period when inflation was moving up and rates were moving up",cost,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"So as regards the kind of deposit growth that is required, I think the pace at which we are growing deposits in line with the top line growth that is more or less matching 11 plus percentage in this year and probably slightly faster, which is what we normally do in the fourth quarter like what we have done in the past should lead us to the kind of range that we have committed to.",revenue,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"So as regards the kind of deposit growth that is required, I think the pace at which we are growing deposits in line with the top line growth that is more or less matching 11 plus percentage in this year and probably slightly faster, which is what we normally do in the fourth quarter like what we have done in the past should lead us to the kind of range that we have committed to.",deposit_growth,2.0,hybrid,management,banking
HDFC Bank,2026-01-23,"And we are very confident that one as we have a clear cut, as I said, all things remaining same with whatever we are seeing in the macro, we should believe that the growth runway opportunities for growth and hence in the deposit requirements other than certain events that may happen, which you and I will not be able to predict now.",deposit_growth,1.0,keyword,management,banking
HDFC Bank,2026-01-23,And that is what you see that is reflected in our cost of funds.,cost,1.0,keyword,management,banking
HDFC Bank,2026-01-23,And that is what you see that is reflected in our cost of funds.,nim,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"If you look at our cost of funds is down by about 10 basis points, 11 basis points or so in the quarter.",cost,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"If you look at our cost of funds is down by about 10 basis points, 11 basis points or so in the quarter.",nim,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"So the impact of almost 8-odd billion, looking at our employee cost and then comparing maybe the labor code impact vis-a-vis the employee cost for others.",cost,2.0,keyword,management,banking
HDFC Bank,2026-01-23,"For us, it seems to be relatively on the higher side, more than 10% of the employee cost, not so much for the other banks.",cost,2.0,keyword,management,banking
HDFC Bank,2026-01-23,"When you look at these variables, the definition of what is wage,",cost,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"So, when we did sort of forecast a faster growth rate for ourselves than the system, as we have seen, we have been having deposit growth rates in line with normally the top line growth, slightly faster than the loan growth.",revenue,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"So, when we did sort of forecast a faster growth rate for ourselves than the system, as we have seen, we have been having deposit growth rates in line with normally the top line growth, slightly faster than the loan growth.",guidance,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"So, when we did sort of forecast a faster growth rate for ourselves than the system, as we have seen, we have been having deposit growth rates in line with normally the top line growth, slightly faster than the loan growth.",loan_growth,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"So, when we did sort of forecast a faster growth rate for ourselves than the system, as we have seen, we have been having deposit growth rates in line with normally the top line growth, slightly faster than the loan growth.",deposit_growth,2.0,keyword,management,banking
HDFC Bank,2026-01-23,"So I think the economic environment with the kind of GDP growth that one has seen, the kind of consumption growth that one is seeing as well as the wage increases that one has seen on one hand and on the other, the lowering of the interest rates and affordability therefore, going up, including the fiscal benefits that were given.",cost,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"Outside of that, every segment, including the agri segment period-to-period, if you see is lower, both from a leading delinquency and into the slippages, which are far lower.",slippages,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"You're seeing that the recoveries, wherever we are there, that is also on a good level.",recoveries,1.0,keyword,management,banking
HDFC Bank,2026-01-23,Services sector doing very well on the consumption demand side.,demand,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"So like if you look back as to what kind of experiences that we used to have in terms of the branch vintage and the deposit buildup, is that kind of sustaining in the recent years because the deposit growth is just not picking up at the system level.",deposit_growth,2.0,keyword,management,banking
HDFC Bank,2026-01-23,"So I was also saying that related to this, if you look at the branch expansion run rate, every successive year, we are now opening up lower number of branches, like FY '23 versus '24 to '25, every year, we are going down in terms of branch expansion.",capex,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"And if you look as to how HDFC Bank has done last year and versus what the current year, probably we will be closer to in terms of deposit rate versus what we were last year on a good case basis.",deposit_growth,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"For card customers spending on their card account and having 100 outstanding, at the aggregate level in the bank, we see almost north of 5.5x deposit balances from the customers.",deposit_growth,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"When we are giving a mortgage product, we get the savings account and the savings account gets funded approximately today at initiation at about INR35,000.",deposit_growth,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"The new guidelines, we don't expect any material change that can impact us.",guidance,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"Suresh, if you think about the margin, the most important lever on the margin is the cost of funds, which various points we have mentioned.",margin,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"Suresh, if you think about the margin, the most important lever on the margin is the cost of funds, which various points we have mentioned.",cost,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"Suresh, if you think about the margin, the most important lever on the margin is the cost of funds, which various points we have mentioned.",nim,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"And within the cost of funds, there are a few.",cost,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"And within the cost of funds, there are a few.",nim,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"One is the time deposit repricing, which has a lag effect.",deposit_growth,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"We have changed time deposit rates in line with the policy rate change, but not fully, but maybe two-third way, we have changed 125 basis points is what the policy has changed.",deposit_growth,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"Part of that this quarter, you have seen 10, 11 basis points change in cost of funds.",cost,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"Part of that this quarter, you have seen 10, 11 basis points change in cost of funds.",nim,1.0,keyword,management,banking
HDFC Bank,2026-01-23,That is another important lever that provides this cost of funds change.,cost,1.0,keyword,management,banking
HDFC Bank,2026-01-23,That is another important lever that provides this cost of funds change.,nim,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"And the third one is the CASA, which again is a customer on the other side more than we creating any action where we need to work through to bring selling within the new customers and better engagement, more products, more retail products.",deposit_growth,1.0,keyword,management,banking
HDFC Bank,2026-01-23,Just wanted to delve on this deposit growth part.,deposit_growth,2.0,hybrid,management,banking
HDFC Bank,2026-01-23,"Now if I look at your net slippages, ex of the agri part, but let's say, look at the net slippages in the 9 months or last few quarters, around 30, 35 basis points.",slippages,1.0,keyword,management,banking
HDFC Bank,2026-01-23,So why is the underlying credit cost around 55 BPS and not coming off?,cost,1.0,keyword,analyst,banking
HDFC Bank,2026-01-23,So why is the underlying credit cost around 55 BPS and not coming off?,loan_growth,1.0,keyword,analyst,banking
HDFC Bank,2026-01-23,So why is the underlying credit cost around 55 BPS and not coming off?,credit_cost,1.0,keyword,analyst,banking
HDFC Bank,2026-01-23,"If you're looking at excluding agri slippages, it's 24 BPS in the quarter, prior quarter was 23 bps, prior year was 26 bps.",slippages,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"That is the kind of a slippage in a quarter, right.",slippages,1.0,keyword,management,banking
